ASV_ID	Bomok1	Bomok2	Bomok3	Bomok4	Gangjeong1	Gangjeong2	Gangjeong3	Gangjeong4
ASV355	0	0	0	33	0	3	0	0
ASV356	0	35	0	0	0	0	0	0
ASV357	0	27	0	0	0	8	0	0
ASV358	0	9	0	0	0	0	13	13
ASV359	0	5	21	0	0	3	3	3
ASV360	0	0	0	35	0	0	0	0
ASV361	0	0	0	35	0	0	0	0
ASV362	0	0	0	35	0	0	0	0
ASV363	0	0	0	29	0	0	3	3
ASV364	0	0	0	9	0	26	0	0
ASV365	0	0	0	0	0	3	16	16
ASV366	17	0	0	17	0	0	0	0
ASV367	13	21	0	0	0	0	0	0
ASV368	0	22	0	0	12	0	0	0
ASV369	0	20	0	0	0	14	0	0
ASV370	0	0	34	0	0	0	0	0
ASV371	0	0	34	0	0	0	0	0
ASV372	0	0	34	0	0	0	0	0
ASV373	0	0	0	34	0	0	0	0
ASV374	0	0	0	0	34	0	0	0
ASV375	0	0	0	0	0	34	0	0
ASV376	0	33	0	0	0	0	0	0
ASV377	0	33	0	0	0	0	0	0
ASV378	0	0	33	0	0	0	0	0
ASV379	0	0	0	33	0	0	0	0
ASV380	0	0	0	33	0	0	0	0
ASV381	0	0	0	33	0	0	0	0
ASV382	0	0	0	0	33	0	0	0
ASV383	32	0	0	0	0	0	0	0
ASV384	0	32	0	0	0	0	0	0
ASV385	0	32	0	0	0	0	0	0
ASV386	0	14	0	0	0	18	0	0
ASV387	0	0	32	0	0	0	0	0
ASV388	0	0	0	32	0	0	0	0
ASV389	0	0	0	27	0	5	0	0
ASV390	0	0	0	20	12	0	0	0
ASV391	0	0	0	0	2	0	15	15
ASV392	0	0	0	0	0	32	0	0
ASV393	0	0	0	0	0	0	16	16
ASV394	0	0	0	0	0	0	16	16
ASV395	0	0	0	0	0	0	16	16
ASV396	31	0	0	0	0	0	0	0
ASV397	31	0	0	0	0	0	0	0
ASV398	27	0	4	0	0	0	0	0
ASV399	16	15	0	0	0	0	0	0
ASV400	0	4	19	0	0	8	0	0
ASV401	0	0	31	0	0	0	0	0
ASV402	0	0	31	0	0	0	0	0
ASV403	0	0	5	0	0	8	9	9
ASV404	0	0	0	31	0	0	0	0
ASV405	0	0	0	31	0	0	0	0
ASV406	0	0	0	0	31	0	0	0
ASV407	0	0	0	0	31	0	0	0
ASV408	0	0	0	0	0	31	0	0
ASV409	0	0	0	0	0	11	10	10
ASV410	30	0	0	0	0	0	0	0
ASV411	30	0	0	0	0	0	0	0
ASV412	30	0	0	0	0	0	0	0
ASV413	13	4	0	0	7	0	3	3
ASV414	6	22	0	2	0	0	0	0
ASV415	2	0	0	0	14	14	0	0
ASV416	0	0	0	0	30	0	0	0
ASV417	0	0	0	0	0	30	0	0
ASV418	0	0	0	0	0	0	15	15
ASV419	0	0	0	0	0	0	15	15
ASV420	0	0	0	0	0	0	15	15
ASV421	29	0	0	0	0	0	0	0
ASV422	11	0	0	0	12	0	3	3
ASV423	0	0	29	0	0	0	0	0
ASV424	0	0	29	0	0	0	0	0
ASV425	0	0	26	0	0	3	0	0
ASV426	0	0	0	29	0	0	0	0
ASV427	0	0	0	29	0	0	0	0
ASV428	0	0	0	0	29	0	0	0
ASV429	0	0	0	0	7	22	0	0
ASV430	0	0	0	0	5	24	0	0
ASV431	0	0	0	0	2	27	0	0
ASV432	0	0	0	0	0	29	0	0
ASV433	0	0	0	0	0	29	0	0
ASV434	28	0	0	0	0	0	0	0
ASV435	0	28	0	0	0	0	0	0
ASV436	0	18	0	0	0	10	0	0
ASV437	0	0	28	0	0	0	0	0
ASV438	0	0	28	0	0	0	0	0
ASV439	0	0	0	28	0	0	0	0
ASV440	0	0	0	18	10	0	0	0
ASV441	0	0	0	0	28	0	0	0
ASV442	0	0	0	0	28	0	0	0
ASV443	0	0	0	0	0	2	13	13
ASV444	0	0	0	0	0	0	14	14
ASV445	0	0	0	0	0	0	14	14
ASV446	0	0	0	0	0	0	14	14
ASV447	27	0	0	0	0	0	0	0
ASV448	20	7	0	0	0	0	0	0
ASV449	0	13	0	0	0	0	7	7
ASV450	0	9	0	0	0	0	9	9
ASV451	0	0	8	0	19	0	0	0
ASV452	0	0	0	27	0	0	0	0
ASV453	0	0	0	27	0	0	0	0
ASV454	0	0	0	27	0	0	0	0
ASV455	0	0	0	0	27	0	0	0
ASV456	0	0	0	0	27	0	0	0
ASV457	26	0	0	0	0	0	0	0
ASV458	26	0	0	0	0	0	0	0
ASV459	26	0	0	0	0	0	0	0
ASV460	4	0	0	9	7	0	3	3
ASV461	0	26	0	0	0	0	0	0
ASV462	0	0	26	0	0	0	0	0
ASV463	0	0	26	0	0	0	0	0
ASV464	0	0	24	0	0	2	0	0
ASV465	0	0	0	16	0	0	5	5
ASV466	0	0	0	12	0	0	7	7
ASV467	0	0	0	0	26	0	0	0
ASV468	0	0	0	0	26	0	0	0
ASV469	0	0	0	0	8	6	6	6
ASV470	0	0	0	0	0	26	0	0
ASV471	0	0	0	0	0	26	0	0
ASV472	0	0	0	0	0	26	0	0
ASV473	0	0	0	0	0	26	0	0
ASV474	0	0	0	0	0	0	13	13
ASV475	0	0	0	0	0	0	13	13
ASV476	0	0	0	0	0	0	13	13
ASV477	0	0	0	0	0	0	13	13
ASV478	0	0	0	0	0	0	13	13
ASV479	25	0	0	0	0	0	0	0
ASV480	0	25	0	0	0	0	0	0
ASV481	0	25	0	0	0	0	0	0
ASV482	0	25	0	0	0	0	0	0
ASV483	0	7	0	0	0	0	9	9
ASV484	0	3	0	0	0	22	0	0
ASV485	0	0	25	0	0	0	0	0
ASV486	0	0	0	25	0	0	0	0
ASV487	0	0	0	25	0	0	0	0
ASV488	0	0	0	25	0	0	0	0
ASV489	0	0	0	25	0	0	0	0
ASV490	0	0	0	25	0	0	0	0
ASV491	24	0	0	0	0	0	0	0
ASV492	0	24	0	0	0	0	0	0
ASV493	0	0	24	0	0	0	0	0
ASV494	0	0	10	0	0	0	7	7
ASV495	0	0	0	24	0	0	0	0
ASV496	0	0	0	24	0	0	0	0
ASV497	0	0	0	24	0	0	0	0
ASV498	0	0	0	24	0	0	0	0
ASV499	0	0	0	21	3	0	0	0
ASV500	0	0	0	0	24	0	0	0
ASV501	0	0	0	0	24	0	0	0
ASV502	0	0	0	0	24	0	0	0
ASV503	0	0	0	0	0	24	0	0
ASV504	0	0	0	0	0	0	12	12
ASV505	0	0	0	0	0	0	12	12
ASV506	0	0	0	0	0	0	12	12
ASV507	6	0	0	0	17	0	0	0
ASV508	0	23	0	0	0	0	0	0
ASV509	0	23	0	0	0	0	0	0
ASV510	0	23	0	0	0	0	0	0
ASV511	0	13	0	0	0	0	5	5
ASV512	0	6	0	0	0	17	0	0
ASV513	0	5	0	0	0	0	9	9
ASV514	0	0	23	0	0	0	0	0
ASV515	0	0	23	0	0	0	0	0
ASV516	0	0	0	23	0	0	0	0
ASV517	0	0	0	23	0	0	0	0
ASV518	0	0	0	0	23	0	0	0
ASV519	0	0	0	0	0	23	0	0
ASV520	0	0	0	0	0	23	0	0
ASV521	22	0	0	0	0	0	0	0
ASV522	22	0	0	0	0	0	0	0
ASV523	22	0	0	0	0	0	0	0
ASV524	2	0	0	20	0	0	0	0
ASV525	0	17	0	0	0	5	0	0
ASV526	0	6	0	0	0	0	8	8
ASV527	0	0	14	0	0	0	4	4
ASV528	0	0	0	22	0	0	0	0
ASV529	0	0	0	22	0	0	0	0
ASV530	0	0	0	22	0	0	0	0
